Epoch,Training Loss,Validation Loss,Validation Accuracy,Precision,Recall
1,0.31493062963709234,0.6553818821907044,60.833333333333336,0.620407533189256,0.6083333333333334
2,0.10062993461033329,0.5838706597685814,73.33333333333333,0.7511961722488039,0.7333333333333334
3,0.03388566733337939,0.5934904858469963,71.66666666666667,0.7579365079365079,0.7166666666666667
4,0.010632858492317609,0.6664158344268799,61.666666666666664,0.6215277777777778,0.6166666666666667
5,0.010025412586401217,0.6647621437907218,62.5,0.6293475136533486,0.625
6,0.003372343235241715,0.5538919195532799,69.16666666666667,0.6983328542684679,0.6916666666666667
7,0.003505050207604654,0.6784650832414627,61.666666666666664,0.62,0.6166666666666667
8,0.004222393708187155,0.5368719741702079,75.83333333333333,0.7642796248934356,0.7583333333333333
9,0.0018266051469254308,0.6568974360823632,62.5,0.6389317690645261,0.625
10,0.0014057247863092925,0.629528047144413,60.0,0.6155327342747112,0.6
11,0.0006904112538904883,0.7150951325893402,61.666666666666664,0.6187782805429864,0.6166666666666667
12,0.0017726621015754062,0.6261814355850219,70.83333333333333,0.7222222222222222,0.7083333333333334
13,0.0011696644993207882,0.7375719010829925,60.833333333333336,0.6413555636100037,0.6083333333333333
14,0.000761963121840381,0.6895400583744049,60.0,0.6057579318448884,0.6
15,0.0007509610120905563,0.6898257002234459,59.166666666666664,0.6018832973139858,0.5916666666666667
16,0.0006584880335140042,0.6649013876914978,65.83333333333333,0.6804368471035138,0.6583333333333333
17,0.0006126342566858511,0.6640563622117043,65.0,0.6542857142857144,0.6499999999999999
18,0.0006856353946204762,0.6598843321204185,62.5,0.6311570970562518,0.625
