Epoch,Training Loss,Validation Loss,Validation Accuracy,Precision,Recall
1,0.6558720713853836,0.6713244199752808,55.0,0.5505050505050505,0.55
2,0.4389170534908772,0.6770077317953109,64.16666666666667,0.6426573426573426,0.6416666666666666
3,0.27053842529654504,0.5846026033163071,72.5,0.7360827747012533,0.7250000000000001
4,0.19886360377073287,0.6018344029784203,70.83333333333333,0.7097902097902098,0.7083333333333333
5,0.1312485590018332,0.6144407033920288,70.0,0.7057142857142857,0.7
6,0.1662814803700894,0.5821165844798089,75.83333333333333,0.7618980568853844,0.7583333333333333
7,0.154238802138716,0.6335177913308143,71.66666666666667,0.7169076751946608,0.7166666666666666
8,0.06146472029387951,0.6533087715506554,74.16666666666667,0.7422723475355054,0.7416666666666667
9,0.10837922611040994,0.5822905711829662,69.16666666666667,0.6930069930069931,0.6916666666666667
10,0.09187234165845438,0.6211273953318596,68.33333333333333,0.6909722222222222,0.6833333333333333
11,0.16385284861084073,0.699866171181202,68.33333333333333,0.6841517857142857,0.6833333333333333
